ulb,district,type,basis,sewage_mld,installed_stp_mld,utilised_stp_mld,gap_mld,calculated_gap,utilisation_pct,treatment_coverage_pct
Gandevi,Navsari,RCM,Calculated as per 80% of Water Supply,1.76,2.6,0.0,1.76,1.76,0.0,0.0
Gandhidham,Kutch,New MC,Calculated as per 80% of Water Supply,40.31,30.0,25.0,15.31,15.310000000000002,83.33,62.02
Gandhinagar Municipal Corporation,Gandhinagar,MC,Calculated as per 80% of Water Supply,75.0,193.0,53.0,22.0,22.0,27.46,70.67
Gariyadhar,Bhavnagar,RCM,Calculated as per 80% of Water Supply,2.46,7.1,0.0,2.46,2.46,0.0,0.0
Godhra,Panchmahal,RCM,Calculated as per 80% of Water Supply,18.17,27.6,6.5,11.67,11.670000000000002,23.55,35.77
Gondal,Rajkot,RCM,Calculated as per 80% of Water Supply,13.69,16.5,0.0,13.69,13.69,0.0,0.0
Halol,Panchmahal,RCM,Calculated as per 80% of Water Supply,10.15,12.35,0.0,10.15,10.15,0.0,0.0
Halvad,Morbi,RCM,Calculated as per 80% of Water Supply,4.47,6.7,0.0,4.47,4.47,0.0,0.0
Harij,Patan,RCM,Calculated as per 80% of Water Supply,2.18,3.0,0.0,2.18,2.18,0.0,0.0
Himmatnagar,Sabarkantha,RCM,Calculated as per 80% of Water Supply,11.4,17.51,7.0,4.4,4.4,39.98,61.4
Idar,Sabarkantha,RCM,Calculated as per 80% of Water Supply,4.0,7.4,4.0,0.0,0.0,54.05,100.0
Jafrabad,Amreli,RCM,Calculated as per 80% of Water Supply,2.53,5.4,0.0,2.53,2.53,0.0,0.0
Jambusar,Bharuch,RCM,Calculated as per 80% of Water Supply,4.17,5.9,0.0,4.17,4.17,0.0,0.0
Jamjodhpur,Jamnagar,RCM,Calculated as per 80% of Water Supply,3.36,3.6,0.0,3.36,3.36,0.0,0.0
Jamnagar Municipal Corporation,Jamnagar,MC,Calculated as per 80% of Water Supply,80.0,120.0,70.0,10.0,10.0,58.33,87.5
